,Total demand,Total fixed costs,Total generation costs,Total costs,Total load shedding,Total over generation,Total reserve shortfall,Total renewables curtailment,Total on/offs,Total sum on/off ramps,Total sum nominal ramps,Maximum observed demand,Overall renewables penetration rate,Cumulative average price,Renewables available,Renewables used
37,120147.289404,1284186.51,648582.230588,1932768.740588,1092.90486,0.0,0.0,699.098869,6,510.0,10625.294698,6315.146714,31.345243,16.086661,38359.558647,37660.459778
38,120148.037189,1284186.51,599317.682747,1883504.192747,298.312935,0.0,0.0,787.090473,6,510.0,8218.099375,6315.119017,33.443581,15.676529,40968.897112,40181.806639
39,120148.133804,1284186.51,603752.202178,1887938.712178,59.158461,0.0,0.0,1010.500858,6,510.0,10364.515293,6315.142654,33.606174,15.713425,41387.691804,40377.190946
40,120148.121231,1284186.51,633232.482807,1917418.992807,441.59375,0.0,0.0,961.760708,6,510.0,10187.281605,6315.031023,32.352766,15.958793,39833.001581,38871.240873
41,120147.77808,1284186.51,550527.724986,1834714.234986,0.0,0.0,0.0,624.038704,6,510.0,6972.788367,6315.076965,35.489915,15.27048,43264.383571,42640.344868
42,120148.508317,1284186.51,650973.095185,1935159.605185,315.678682,0.0,0.0,1640.52027,6,510.0,11237.582682,6315.218714,32.066332,16.106397,40167.740234,38527.219965
43,120147.358685,1284186.51,596050.272355,1880236.782355,0.0,0.0,0.0,873.052713,6,510.0,7603.854159,6315.146434,33.862927,15.649423,41558.465349,40685.412637
44,120148.505552,1284186.51,617295.245529,1901481.755529,144.357997,0.0,0.0,1047.307925,6,510.0,8469.533419,6315.107194,32.957021,15.826096,40644.675614,39597.367689
45,120148.032577,1284186.51,638767.334076,1922953.844076,1106.888328,0.0,0.0,1645.970094,6,510.0,11998.240945,6315.112053,31.698203,16.004872,39730.737135,38084.767041
46,120147.714725,1284186.51,552760.396388,1836946.906388,153.59221,0.0,0.0,1173.162045,6,510.0,10299.494449,6315.125655,35.382873,15.289071,43684.875247,42511.713202
47,120147.693975,1284186.51,627287.840104,1911474.350104,441.254016,0.0,0.0,346.511057,6,510.0,7647.026589,6315.073424,32.756935,15.909372,39703.212971,39356.701914
48,120147.894504,1284186.51,521288.100153,1805474.610153,0.0,0.0,0.0,695.90003,6,510.0,7904.930941,6315.055386,36.562178,15.027102,44624.586624,43928.686594
49,120147.832268,1284186.51,543128.334963,1827314.844963,0.0,0.0,0.0,1757.674046,6,510.0,5539.246006,6315.001037,35.692657,15.208887,44641.628159,42883.954114
50,120147.245802,1284186.51,563353.247042,1847539.757042,0.0,0.0,0.0,1580.517718,6,510.0,8607.682465,6314.952086,35.197624,15.377296,43869.493159,42288.975441
51,120147.653437,1284186.51,544005.530118,1828192.040118,0.0,0.0,0.0,1617.627175,6,510.0,6199.113841,6314.942767,35.912408,15.216211,44765.542956,43147.915781
52,120147.873917,1284186.51,489503.306241,1773689.816241,0.0,0.0,0.0,751.897065,6,510.0,5005.235511,6315.091482,37.75761,14.762557,46116.862283,45364.965218
53,120148.138592,1284186.51,592939.646685,1877126.156685,0.0,0.0,0.0,114.042762,6,510.0,8178.111971,6315.127854,33.600845,15.623431,40484.832116,40370.789353
54,120147.902003,1284186.51,594842.54781,1879029.05781,0.0,0.0,0.0,1239.240673,6,510.0,7628.227524,6315.103371,33.818439,15.6393,41871.38567,40632.144997
55,120147.972051,1284186.51,542230.506028,1826417.016028,630.736899,0.0,0.0,1384.901502,6,510.0,6801.977545,6315.195296,35.718357,15.201397,44299.782938,42914.881436
56,120147.684504,1284186.51,549749.654748,1833936.164748,0.0,0.0,0.0,1265.917562,6,510.0,9072.603841,6314.800898,35.438249,15.264016,43844.152816,42578.235254
57,120147.423936,1284186.51,527540.710764,1811727.220764,0.0,0.0,0.0,1293.554039,6,510.0,7666.354298,6315.049231,36.256106,15.079202,44854.331017,43560.776978
58,120147.571739,1284186.51,564600.061223,1848786.571223,654.717981,0.0,0.0,1181.574282,6,510.0,8964.729024,6315.17667,34.466916,15.387632,42592.736916,41411.162634
59,120147.712122,1284186.51,591959.692954,1876146.202954,157.271122,0.0,0.0,1426.347065,6,510.0,9765.125692,6315.092994,34.176442,15.61533,42488.5597,41062.212634
60,120147.658086,1284186.51,551561.855982,1835748.365982,209.521401,0.0,0.0,1234.898972,6,510.0,9044.871478,6315.026073,35.523049,15.279102,43915.010219,42680.111247
61,120147.846181,1284186.51,581097.140964,1865283.650964,0.0,0.0,0.0,1279.294721,6,510.0,8429.023653,6314.80995,34.530455,15.524903,42766.893015,41487.598294
62,120147.717943,1284186.51,573383.571226,1857570.081226,0.0,0.0,0.0,250.479119,6,510.0,12580.03517,6314.956533,34.804759,15.460719,42067.602933,41817.123814
63,120147.720217,1284186.51,575586.686196,1859773.196196,0.0,0.0,0.0,1166.383453,6,510.0,6758.963072,6314.95648,34.50888,15.479055,42628.016218,41461.632765
64,120147.556534,1284186.51,579717.170829,1863903.680829,0.0,0.0,0.0,819.444019,6,510.0,8195.915348,6315.03261,34.183934,15.513455,41890.605275,41071.161256
65,120147.657646,1284186.51,585474.002487,1869660.512487,0.0,0.0,0.0,1238.027136,6,510.0,10603.351691,6314.893584,34.470318,15.561356,42653.306737,41415.279601
66,120147.957683,1284186.51,608557.530512,1892744.040512,1032.035179,0.0,0.0,547.154386,6,510.0,8930.31104,6315.085081,32.747155,15.753443,39892.192624,39345.038238
67,120147.278653,1284186.51,505529.361865,1789715.871865,0.0,0.0,0.0,1098.530107,6,510.0,7362.397538,6315.164678,37.052434,14.896017,45616.02155,44517.491442
68,120148.409838,1284186.51,548293.799081,1832480.309081,223.199802,0.0,0.0,1665.331249,6,510.0,7081.860221,6315.046881,35.669921,15.251807,44522.173525,42856.842277
69,120147.817036,1284186.51,589283.046291,1873469.556291,516.10204,0.0,0.0,868.226848,6,510.0,8237.416707,6315.155312,33.797535,15.593039,41475.226945,40607.000096
70,120147.450909,1284186.51,596311.229736,1880497.739736,881.469548,0.0,0.0,1197.522022,6,510.0,11505.643253,6315.123201,33.331701,15.651582,41244.711675,40047.189653
71,120148.059492,1284186.51,559859.618137,1844046.128137,326.668942,0.0,0.0,1178.956426,6,510.0,8271.47115,6315.091258,34.994948,15.348114,43224.707079,42045.750653
72,120147.598537,1284186.51,548523.305622,1832709.815622,0.0,0.0,0.0,1148.885745,6,510.0,8175.099517,6314.9791,35.441483,15.25382,43730.975952,42582.090206
73,120148.27159,1284186.51,502869.78578,1787056.29578,0.0,0.0,0.0,1504.027405,6,510.0,7717.534871,6315.075138,37.179408,14.873758,46174.443805,44670.416401
74,120147.935732,1284186.51,501204.245431,1785390.755431,0.0,0.0,0.0,1905.664337,6,510.0,7135.539091,6315.030009,37.514458,14.859937,46978.511156,45072.84682
75,120147.318627,1284186.51,631967.606712,1916154.116712,545.853705,0.0,0.0,1027.541969,6,510.0,11692.628513,6314.99363,32.311776,15.948372,39849.274869,38821.732899
76,120147.793664,1284186.51,545923.902049,1830110.412049,0.0,0.0,0.0,944.932185,6,510.0,7336.36545,6315.104796,35.687018,15.23216,43822.097293,42877.165108
77,120147.964701,1284186.51,545579.476263,1829765.986263,0.0,0.0,0.0,1483.201256,6,510.0,5677.144587,6315.076966,35.960931,15.229272,44689.528014,43206.326758
78,120148.138525,1284186.51,581430.523329,1865617.033329,736.39323,0.0,0.0,1710.852,6,510.0,7945.448351,6315.13395,34.359433,15.52764,42993.071085,41282.219085
79,120147.699058,1284186.51,554219.722096,1838406.232096,0.0,0.0,0.0,796.680732,6,510.0,6913.757058,6315.055237,35.335391,15.301219,43251.340081,42454.659349
80,120148.181627,1284186.51,587031.171895,1871217.681895,180.507117,0.0,0.0,1066.404048,6,510.0,8668.638853,6315.089689,34.077316,15.574249,42009.679056,40943.275008
81,120146.715296,1284186.51,627323.275761,1911509.785761,639.136305,0.0,0.0,1105.876916,6,510.0,8527.827633,6314.930272,32.548511,15.909796,40211.844006,39105.96709
82,120148.228455,1284186.51,539679.288553,1823865.798553,0.0,0.0,0.0,2588.509776,6,510.0,7084.124804,6315.134976,36.054162,15.180131,45906.946887,43318.437112
83,120148.148688,1284186.51,587238.32483,1871424.83483,553.993122,0.0,0.0,1066.29244,6,510.0,8155.007364,6315.085081,33.736576,15.575977,41600.164452,40533.872013
84,120146.916244,1284186.51,588731.646419,1872918.156419,0.0,0.0,0.0,437.879588,6,510.0,7865.426755,6315.026762,33.935497,15.588566,41210.332859,40772.453272
85,120147.612572,1284186.51,610401.523625,1894588.033625,465.153966,0.0,0.0,1843.55773,6,510.0,8519.380673,6315.13506,33.372736,15.768836,41940.103798,40096.546068
86,120147.229164,1284186.51,549187.917446,1833374.427446,0.0,0.0,0.0,937.301117,6,510.0,7939.857191,6314.883441,35.616583,15.259398,43729.638557,42792.337441
87,120147.784433,1284186.51,566878.328516,1851064.838516,0.0,0.0,0.0,787.129617,6,510.0,8864.786969,6315.17648,35.021108,15.406567,42864.215382,42077.085764
88,120147.662847,1284186.51,636101.109748,1920287.619748,0.0,0.0,0.0,1293.498836,6,510.0,11754.278301,6315.220739,32.638244,15.98273,40507.586249,39214.087413
89,120148.180849,1284186.51,545217.066903,1829403.576903,0.0,0.0,0.0,812.054814,6,510.0,7748.644262,6315.236098,35.691046,15.226228,43694.19686,42882.142046
90,120148.638111,1284186.51,595291.337752,1879477.847752,221.86351,0.0,0.0,640.237615,6,510.0,8300.649616,6315.02794,33.965362,15.642939,41449.15721,40808.919595
91,120147.39692,1284186.51,614512.914138,1898699.424138,0.0,0.0,0.0,1135.493828,6,510.0,10738.552074,6315.047311,33.421669,15.803084,41290.759581,40155.265752
92,120148.151749,1284186.51,518531.175303,1802717.685303,0.0,0.0,0.0,1777.579724,6,510.0,5460.64885,6315.125718,36.563461,15.004123,45707.902642,43930.322918
93,120148.026035,1284186.51,596005.477656,1880191.987656,118.352497,0.0,0.0,515.420327,6,510.0,10851.176228,6314.975201,33.952861,15.648963,41309.11312,40793.692793
94,120147.560412,1284186.51,542224.685332,1826411.195332,510.637986,0.0,0.0,549.205912,6,510.0,7563.286827,6315.155931,35.82959,15.201401,43597.584741,43048.378829
95,120147.282091,1284186.51,599280.838157,1883467.348157,421.168463,0.0,0.0,498.911926,6,510.0,10080.595054,6314.942767,33.39286,15.676321,40619.526189,40120.614263
96,120147.095129,1284186.51,550501.027387,1834687.537387,302.851619,0.0,0.0,918.414067,6,510.0,8886.486218,6314.95795,35.387238,15.270345,43435.153152,42516.739085
97,120146.899153,1284186.51,559440.308251,1843626.818251,0.0,0.0,0.0,767.899108,6,510.0,8972.236846,6315.05524,35.282743,15.344772,43159.021091,42391.121982
98,120147.577012,1284186.51,520545.766554,1804732.276554,0.0,0.0,0.0,1253.724955,6,510.0,7695.137132,6315.036724,36.624016,15.020963,45256.592363,44002.867408
99,120147.419815,1284186.51,585868.360924,1870054.870924,183.534124,0.0,0.0,797.538355,6,510.0,7163.852497,6314.928496,34.227377,15.564669,41920.848876,41123.310522
100,120147.790558,1284186.51,551043.250171,1835229.760171,0.0,0.0,0.0,741.444528,6,510.0,9452.523467,6315.211669,35.400538,15.274769,43274.409124,42532.964596
101,120148.591956,1284186.51,527905.881313,1812092.391313,0.0,0.0,0.0,928.26381,6,510.0,8826.588961,6315.076966,36.1495,15.082094,44361.379616,43433.115805
102,120147.401621,1284186.51,563693.74823,1847880.25823,1158.384111,0.0,0.0,2035.476768,6,510.0,8230.950601,6314.97241,34.360048,15.38011,43318.181464,41282.704696
103,120147.847677,1284186.51,530014.59046,1814201.10046,0.0,0.0,0.0,750.044894,6,510.0,6598.140133,6315.076966,36.22633,15.099739,44275.200803,43525.155908
104,120147.82901,1284186.51,521144.711712,1805331.221712,0.0,0.0,0.0,784.537304,6,510.0,6392.116611,6315.170274,36.357997,15.025916,44467.881453,43683.344149
105,120148.05427,1284186.51,556092.136814,1840278.646814,438.080117,0.0,0.0,1815.897423,6,510.0,8200.824491,6315.016116,35.236966,15.316758,44152.426079,42336.528656
106,120147.628877,1284186.51,566931.794065,1851118.304065,0.0,0.0,0.0,293.031521,6,510.0,7137.382459,6315.151862,34.640849,15.407032,41913.189692,41620.158171
107,120148.72553,1284186.51,565605.316317,1849791.826317,0.0,0.0,0.0,871.471711,6,510.0,9971.061633,6315.287215,34.938885,15.395851,42850.096876,41978.625165
108,120148.337067,1284186.51,591234.999985,1875421.509985,420.801212,0.0,0.0,875.090855,6,510.0,6457.46835,6315.067941,34.126728,15.609217,41877.78691,41002.696055
109,120147.567754,1284186.51,592988.130776,1877174.640776,0.0,0.0,0.0,880.462496,6,510.0,7193.9392,6315.120817,33.712124,15.623909,41384.759216,40504.29672
110,120146.990259,1284186.51,558838.269936,1843024.779936,0.0,0.0,0.0,739.87066,6,510.0,7214.222699,6315.007954,35.13952,15.33975,42958.946513,42219.075853
111,120147.48354,1284186.51,517470.831495,1801657.341495,0.0,0.0,0.0,988.558473,6,510.0,7887.403617,6315.000497,36.695191,14.995381,45076.906659,44088.348186
112,120147.674424,1284186.51,547965.400679,1832151.910679,0.0,0.0,0.0,1453.652079,6,510.0,8418.083573,6314.901457,35.422525,15.249167,44012.992191,42559.340112
113,120148.343283,1284186.51,535513.63702,1819700.14702,0.0,0.0,0.0,1473.879195,6,510.0,6429.040645,6315.047261,36.17967,15.145445,44943.153031,43469.273835
114,120147.485955,1284186.51,594551.192757,1878737.702757,56.968137,0.0,0.0,1585.137348,6,510.0,8463.791513,6315.049204,34.037328,15.636929,42480.131686,40894.994339
115,120146.837896,1284186.51,588596.112505,1872782.622505,526.459833,0.0,0.0,1527.261758,6,510.0,8963.601983,6315.060971,33.822411,15.587448,42163.818667,40636.55691
116,120147.677669,1284186.51,583400.017808,1867586.527808,563.13176,0.0,0.0,526.086744,6,510.0,9016.113626,6315.098316,34.079637,15.544092,41471.979288,40945.892544
117,120147.718609,1284186.51,518283.373256,1802469.883256,0.0,0.0,0.0,1340.290068,6,510.0,9298.378828,6315.148272,36.683924,15.002115,45415.187507,44074.89744
118,120147.841966,1284186.51,523841.528669,1808028.038669,617.559564,0.0,0.0,800.932394,6,510.0,9086.077242,6315.076966,36.208439,15.04836,44304.590809,43503.658415
119,120148.090768,1284186.51,588765.942773,1872952.452773,0.0,0.0,0.0,1140.159429,6,510.0,9455.204785,6315.165359,33.881851,15.588699,41848.55688,40708.397451
120,120147.550335,1284186.51,576583.160861,1860769.670861,166.332546,0.0,0.0,1137.466331,6,510.0,8792.563217,6315.076968,34.7772,15.487371,42921.420554,41783.954223
121,120147.626575,1284186.51,570698.344466,1854884.854466,0.0,0.0,0.0,426.859413,6,510.0,7272.474152,6315.026293,34.59898,15.438381,41996.712165,41569.852752
122,120147.909612,1284186.51,530437.127182,1814623.637182,0.0,0.0,0.0,1830.736216,6,510.0,4918.710652,6315.054021,36.559016,15.103248,45755.629857,43924.893641
123,120148.275056,1284186.51,620394.136553,1904580.646553,0.0,0.0,0.0,1037.874052,6,510.0,9491.001647,6315.076945,32.983327,15.851918,40666.772597,39628.898544
124,120147.744181,1284186.51,531894.233901,1816080.743901,0.0,0.0,0.0,1185.409827,6,510.0,7221.272819,6315.062009,36.002443,15.115396,44441.533385,43256.123558
125,120147.157583,1284186.51,530886.450909,1815072.960909,0.0,0.0,0.0,1631.269942,6,510.0,5159.236537,6315.033186,36.273566,15.107082,45212.928942,43581.659
126,120147.788504,1284186.51,553785.485864,1837971.995864,253.972705,0.0,0.0,1234.936902,6,510.0,8229.47709,6315.00608,35.291752,15.297593,43637.196234,42402.259331
127,120147.567012,1284186.51,556110.575945,1840297.085945,31.872712,0.0,0.0,1726.755584,6,510.0,7452.235384,6315.117398,35.556573,15.316973,44447.113185,42720.357601
128,120148.15117,1284186.51,580608.346062,1864794.856062,0.0,0.0,0.0,580.621623,6,510.0,6796.175275,6315.223419,34.103304,15.520795,41555.111466,40974.489843
129,120147.362964,1284186.51,550889.823505,1835076.333505,267.630055,0.0,0.0,1454.369473,6,510.0,6405.623468,6315.025894,35.313846,15.273546,43883.024331,42428.654858
130,120148.094752,1284186.51,620104.213231,1904290.723231,445.391484,0.0,0.0,717.491005,6,510.0,8039.437359,6315.141863,32.631263,15.849529,39923.331427,39205.840422
131,120147.64141,1284186.51,565509.188619,1849695.698619,0.0,0.0,0.0,406.893483,6,510.0,7707.894349,6315.044761,34.935747,15.395189,42381.369629,41974.476146
132,120148.283272,1284186.51,634566.130459,1918752.640459,223.199802,0.0,0.0,164.324192,6,510.0,7170.293349,6315.046881,32.219139,15.969871,38875.067146,38710.742955
133,120147.836851,1284186.51,559497.855187,1843684.365187,0.0,0.0,0.0,1551.16948,6,510.0,9685.009701,6315.062181,35.629393,15.345132,44359.11449,42807.94501
134,120147.981088,1284186.51,557575.001538,1841761.511538,0.0,0.0,0.0,496.34156,6,510.0,7323.140601,6315.128251,35.223355,15.329109,42816.491532,42320.149972
135,120147.637116,1284186.51,517169.450058,1801355.960058,0.0,0.0,0.0,1071.692517,6,510.0,7656.268943,6314.964224,36.776893,14.992854,45258.260267,44186.56775
136,120147.587853,1284186.51,552073.669357,1836260.179357,0.0,0.0,0.0,2263.70449,6,510.0,6505.951825,6315.173865,35.380263,15.283371,44772.236811,42508.532321
137,120147.488213,1284186.51,586859.181316,1871045.691316,189.483994,0.0,0.0,1126.791099,6,510.0,10437.707952,6315.222383,34.245767,15.572907,42272.220237,41145.429138
138,120147.580553,1284186.51,597416.780584,1881603.290584,1043.226192,0.0,0.0,571.069858,6,510.0,8983.157327,6315.13358,33.149044,15.660767,40398.844437,39827.774579
139,120147.688237,1284186.51,531961.915486,1816148.425486,0.0,0.0,0.0,884.722401,6,510.0,6201.600657,6315.150679,36.303481,15.115966,44502.515691,43617.79329
140,120147.500092,1284186.51,612127.631328,1896314.141328,0.0,0.0,0.0,1145.575779,6,510.0,9978.307572,6315.045398,33.024476,15.783218,40823.65829,39678.082511
141,120147.745905,1284186.51,531145.673328,1815332.183328,0.0,0.0,0.0,871.248289,6,510.0,5483.558176,6315.259028,36.258259,15.109166,44434.729603,43563.481313
142,120147.232898,1284186.51,551944.230552,1836130.740552,401.528509,0.0,0.0,94.308899,6,510.0,8038.339547,6315.186245,35.241883,15.282339,42436.456266,42342.147367
143,120147.575709,1284186.51,600397.685995,1884584.195995,396.129839,0.0,0.0,673.989458,6,510.0,7579.351563,6315.209823,33.451661,15.685578,40865.349194,40191.359736
144,120147.28499,1284186.51,576736.777436,1860923.287436,0.0,0.0,0.0,108.414868,6,510.0,8975.540751,6314.977645,34.394873,15.488684,41432.920817,41324.50595
145,120148.046167,1284186.51,574608.847148,1858795.357148,181.066208,0.0,0.0,1288.803658,6,510.0,10841.46233,6315.165656,34.675724,15.470875,42951.007981,41662.204323
146,120148.155751,1284186.51,588198.424063,1872384.934063,0.0,0.0,0.0,1423.611065,6,510.0,8000.206866,6315.076966,34.142402,15.583967,42445.077983,41021.466918
147,120148.252748,1284186.51,527573.296917,1811759.806917,788.969475,0.0,0.0,1366.032013,6,510.0,8200.415182,6315.236098,35.817623,15.079369,44400.279712,43034.247699
148,120147.610456,1284186.51,508363.778956,1792550.288956,0.0,0.0,0.0,1062.954171,6,510.0,7207.025639,6315.076966,37.019656,14.919567,45541.185988,44478.231817
149,120147.530412,1284186.51,564383.282497,1848569.792497,386.601097,0.0,0.0,549.941155,6,510.0,7216.984205,6315.056578,34.658436,15.385833,42191.196406,41641.255251
150,120148.332091,1284186.51,564292.975087,1848479.485087,83.77108,0.0,0.0,1286.522617,6,510.0,7339.957623,6315.128604,35.210957,15.384978,43591.900654,42305.378037
151,120148.578778,1284186.51,596762.057953,1880948.567953,0.0,0.0,0.0,1469.560845,6,510.0,9147.019204,6315.178344,33.98019,15.655188,42296.276274,40826.715429
152,120147.860275,1284186.51,585379.387548,1869565.897548,0.0,0.0,0.0,847.153462,6,510.0,9689.849529,6315.105587,34.177683,15.560543,41910.908394,41063.754932
153,120147.41967,1284186.51,536340.515203,1820527.025203,0.0,0.0,0.0,831.532972,6,510.0,6441.10415,6315.146746,36.009305,15.152444,44095.783783,43264.250811
154,120148.032344,1284186.51,518857.654107,1803044.164107,0.0,0.0,0.0,914.777012,6,510.0,9036.636567,6315.076966,36.76741,15.006856,45090.09647,44175.319458
155,120147.810158,1284186.51,585617.20683,1869803.71683,0.0,0.0,0.0,518.581358,6,510.0,9283.052817,6315.036235,33.776271,15.562528,41100.031503,40581.450145
156,120147.742182,1284186.51,568240.120992,1852426.630992,0.0,0.0,0.0,562.001597,6,510.0,9666.398396,6315.131824,34.848329,15.417906,42431.481794,41869.480197
157,120147.926852,1284186.51,655506.497085,1939693.007085,177.782624,0.0,0.0,1681.758625,6,510.0,10941.402734,6315.173179,31.658518,16.144207,39718.811346,38037.052721
158,120147.094963,1284186.51,583125.670031,1867312.180031,589.646233,0.0,0.0,827.480639,6,510.0,8331.121243,6315.118194,33.979767,15.541884,41653.183796,40825.703157
159,120147.173195,1284186.51,624308.175818,1908494.685818,220.126331,0.0,0.0,319.796078,6,510.0,11807.051697,6315.116689,32.79664,15.884641,39724.031378,39404.2353
160,120148.099028,1284186.51,565729.066408,1849915.576408,154.344493,0.0,0.0,1100.923695,6,510.0,8614.259852,6315.157647,35.037143,15.396961,43197.384728,42096.461033
